repo,metamodel,original
patrickneubauer/XMLIntellEdit,"['patrickneubauer$XMLIntellEdit$use-cases#AUTOMATIONML#XtextBasedAutomationML#metamodel#CAEX.ecore', 'patrickneubauer$XMLIntellEdit$use-cases#TOSCA#eu.artist.tosca#conceptual#TOSCA-v1.0.ecore', 'patrickneubauer$XMLIntellEdit$use-cases#TOSCA#eu.artist.tosca#temp#TOSCA-v1.0.ecore', 'patrickneubauer$XMLIntellEdit$xmlintelledit#intelledit#model#router.ecore', 'patrickneubauer$XMLIntellEdit$xmlintelledit#intelledit#model#serviceexample.ecore', 'patrickneubauer$XMLIntellEdit$use-cases#TOSCA#eu.artist.tosca#original#generated#TOSCA-v1.0.ecore', 'patrickneubauer$XMLIntellEdit$use-cases#TOSCA#eu.artist.tosca#modified#TOSCA-v1.0.ecore', 'patrickneubauer$XMLIntellEdit$xmlintelledit#xmltext#examples#EXTREMO-ECLASS-CASE-STUDY#sigPML#sigpml.ecore', 'patrickneubauer$XMLIntellEdit$xmlintelledit#xmltext#examples#EXTREMO-ECLASS-CASE-STUDY#sigPML#adapted#sigpml.ecore', 'patrickneubauer$XMLIntellEdit$use-cases#TOSCA#eu.artist.tosca#archived-models#TOSCA-v1.0-without-featuremaps-and-derived-transient-volatile-false.ecore', 'patrickneubauer$XMLIntellEdit$use-cases#TOSCA#eu.artist.tosca#original#TOSCA-v1.0.ecore', 'patrickneubauer$XMLIntellEdit$use-cases#TOSCA#eu.artist.tosca#generated-modified#TOSCA-v1.0.ecore', 'patrickneubauer$XMLIntellEdit$xmlintelledit#intelledit#example#at.ac.tuwien.big.serviceexample#model#serviceexample.ecore']","['amlModeling$amlMetaModel$model#CAEX.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'rbill$virtualedit$VirtModel4#model#router.ecore', 'rbill$virtualedit$VirtModel4#model#serviceexample.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'gemoc$gemoc-studio-old$official_samples#SigPML#language_workbench#org.gemoc.sample.sigpml.model#model#sigpml.ecore', 'gemoc$gemoc-studio-old$official_samples#SigPML#language_workbench#org.gemoc.sample.sigpml.model#model#sigpml.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'CELAR$c-Eclipse$app-description#eu.celar.tosca#model#tosca.ecore', 'rbill$virtualedit$VirtModel4#model#serviceexample.ecore']"
simonpicard/MA1weekly,"['simonpicard$MA1weekly$INFOY080#Project4#Families2Persons#Persons.ecore', 'simonpicard$MA1weekly$INFOY080#Project4#Families2Persons#ExtendedFamilies.ecore', 'simonpicard$MA1weekly$INFOY080#Project4#Families2Persons#Families.ecore']","['atlanmod$org.eclipse.atl.reactive$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Persons.ecore', 'simonpicard$MA1weekly$INFOY080#Project4#Families2Persons#ExtendedFamilies.ecore', 'atlanmod$EMFTVM-D$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Families.ecore']"
dedeLandi/masterSourceCode,"['dedeLandi$masterSourceCode$com.br.terra.dcl#model#generated#DCL.ecore', 'dedeLandi$masterSourceCode$br.ufscar.KDM-MANAGEMENT.core#src#br#ufscar#KDM_MANAGEMENT#tests#09-05-23.ecore']","['rdurelli$com.br.terra.dcl$model#generated#DCL.ecore', 'DevBoost$EMFText$Incubation#org.emftext.metamodelstatistics#models#KDM.ecore']"
loebble/simpleDSLBuilder,['loebble$simpleDSLBuilder$SimpleDSLBuilder#emfmodel#bowling.ecore'],['eneufeld$EmfStore-Test$org.eclipse.example.bowlingmodel#model#bowling.ecore']
cfengler/proj-sqe-sose18,"['cfengler$proj-sqe-sose18$src#main#resources#model#reqif#reqif10.ecore', 'cfengler$proj-sqe-sose18$src#main#resources#model#sysml#sysml.ecore', 'cfengler$proj-sqe-sose18$src#main#resources#model#sysml#sysml15.ecore']","['ModelWriter$Demonstrations$org.eclipse.rmf.reqif10#model#reqif10.ecore', 'bmaggi$Ecore2Yuml$com.github.bmaggi.ecore.yuml.tests#resources#sysml.ecore', 'bmaggi$Ecore2Yuml$com.github.bmaggi.ecore.yuml.tests#resources#sysml.ecore']"
BanafshehAzizi/SEET,"['BanafshehAzizi$SEET$plugins#haetae#org.eclipse.epsilon.haetae.etl.metamodel#model#ETL.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.standalone.api#examples#workflow2pn#metamodels#workflow.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.usefulness&usability#Families2Persons#metamodels#Persons.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#FamiliestoPersons#metamodels#Persons.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.standalone.api#examples#workflow2pn#metamodels#petri_nets.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Newsletter2HTML#metamodels#Newsletter.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Flowchart2HTML#metamodels#Flowchart.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#FamiliestoPersons#metamodels#Families.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.typing#model#types.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.typing#model#original#ATLStatic.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.standalone.api#examples#uml2java#metamodels#java.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.correctness&completeness#Families2Persons.mutants#metamodels#Families.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.usefulness&usability#Families2Persons#metamodels#Families.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.typing#model#errors.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Market2View#metamodels#view.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Market2View#metamodels#Market.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Flowchart2HTML#metamodels#HTML.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.correctness&completeness#Families2Persons.mutants#metamodels#Persons.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#OO2DB-Reduced#metamodels#OO.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Newsletter2HTML#metamodels#HTML.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.typing#model#ext.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.typing#model#generated#ATLmodified.ecore', 'BanafshehAzizi$SEET$plugins#haetae#org.eclipse.epsilon.haetae.eol.metamodel#model#EOL.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.standalone.api#examples#uml2java#metamodels#UML2_3_0_0.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Tree2Graph#metamodels#Tree.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#OO2DB-Reduced#metamodels#DB.ecore', 'BanafshehAzizi$SEET$plugins#haetae#org.eclipse.epsilon.haetae.model.connectivity#library.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.typing#model#generated#merged.ecore', 'BanafshehAzizi$SEET$evaluation#seet.evaluation.scalability#Tree2Graph#metamodels#Graph.ecore', 'BanafshehAzizi$SEET$plugins#anatlyzer#anatlyzer.atl.typing#model#impact.ecore', 'BanafshehAzizi$SEET$plugins#haetae#org.eclipse.epsilon.haetae.evl.metamodel#model#EVL.ecore']","['epsilonlabs$haetae$org.eclipse.epsilon.haetae.etl.metamodel#model#ETL.ecore', 'anatlyzer$anatlyzer$examples#anatlyzer.example.workflow2pn#metamodels#workflow.ecore', 'atlanmod$org.eclipse.atl.reactive$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Persons.ecore', 'atlanmod$org.eclipse.atl.reactive$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Persons.ecore', 'anatlyzer$anatlyzer$examples#anatlyzer.example.workflow2pn#metamodels#petri_nets.ecore', 'monardo12$NewsletterProject$NewsletterGenerator#metamodels#Newsletter.ecore', 'epsilonlabs$epsilonlabs$org.eclipse.epsilon.coverage.test.unit#models#flowchart#flowchart.ecore', 'atlanmod$EMFTVM-D$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Families.ecore', 'anatlyzer$anatlyzer$plugins#anatlyzer.atl.typing#model#types.ecore', 'atlanmod$org.eclipse.atl.reactive$deprecated#org.atl.eclipse.engine#src#org#atl#eclipse#engine#resources#ATL-0.2.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'atlanmod$EMFTVM-D$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Families.ecore', 'atlanmod$EMFTVM-D$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Families.ecore', 'anatlyzer$anatlyzer$plugins#anatlyzer.atl.typing#model#errors.ecore', 'alejan$WebMarketplace$Presentacion#model#presentacion.ecore', 'alejan$WebMarketplace$Proyectos#model#proyectos.ecore', 'atlanmod$org.eclipse.atl.reactive$usecases#org.eclipse.m2m.atl.research.aml#plugins#org.eclipse.m2m.atl.research.aml.engine#Metamodels#HTML.ecore', 'atlanmod$org.eclipse.atl.reactive$tests#org.eclipse.m2m.atl.tests#data#inputs#Families2Persons#Persons.ecore', 'epsilonlabs$epsilonlabs$org.eclipse.epsilon.coverage.test.unit#models#OO2DB#OO.ecore', 'monardo12$NewsletterProject$NewsletterGenerator#metamodels#HTML.ecore', 'anatlyzer$anatlyzer$plugins#anatlyzer.atl.typing#model#ext.ecore', 'atlanmod$org.eclipse.atl.reactive$deprecated#org.atl.eclipse.engine#src#org#atl#eclipse#engine#resources#ATL-0.2.ecore', 'epsilonlabs$epsilonlabs$StaticAnalysis#org.eclipse.epsilon.static.analysis.tests#xml_driver#EOL.ecore', 'creckord$org.eclipse.uml2$deprecated#plugins#org.eclipse.uml2#model#UML2.ecore', 'epsilonlabs$epsilonlabs$org.eclipse.epsilon.examples.standalone.metamodel.tree#model#tree.ecore', 'epsilonlabs$epsilonlabs$org.eclipse.epsilon.coverage.test.unit#models#OO2DB#DB.ecore', 'epsilonlabs$epsilonlabs$StaticAnalysisFramework#org.eclipse.epsilon.analysis.model.driver#library.ecore', 'atlanmod$org.eclipse.atl.reactive$deprecated#org.atl.eclipse.engine#src#org#atl#eclipse#engine#resources#ATL-0.2.ecore', 'epsilonlabs$epsilonlabs$org.eclipse.epsilon.egl.servlet#Graph.ecore', 'anatlyzer$anatlyzer$plugins#anatlyzer.atl.typing#model#impact.ecore', 'epsilonlabs$epsilonlabs$StaticAnalysis#org.eclipse.epsilon.evl.metamodel#model#Evl.ecore']"
MenthorTools/menthor-api,['MenthorTools$menthor-api$ontouml2emf#src#test#resources#ecore#car-accident.ecore'],['joaoraf$menthor-backend$map-ecore#src#test#groovy#net#menthor#ontouml#map#test#CarAccident.ecore']
markus1978/tef,"['markus1978$tef$hub.sam.tef.ocl#resources#OCL.ecore', 'markus1978$tef$hub.sam.tef.ui#templates#text-editor#resources#expressions.ecore', 'markus1978$tef$hub.sam.tef.ui#templates#model-editor#resources#expressions.ecore', 'markus1978$tef$hub.sam.tef#resources#models#etsl.ecore', 'markus1978$tef$hub.sam.tef.ecore#models#Ecore.ecore', 'markus1978$tef$hub.sam.sdl.model#src#hub#sam#sdl#impl#sdl.ecore', 'markus1978$tef$hub.sam.tef.ocl#resources#OCLCST.ecore', 'markus1978$tef$hub.sam.tef.ui#templates#embedded-editor#resources#expressions.ecore', 'markus1978$tef$hub.sam.tef#resources#models#tsl.ecore', 'markus1978$tef$hub.sam.tef.sdl#resources#sdl.ecore', 'markus1978$tef$hub.sam.tef.expressions#models#expressions.ecore']","['BackupTheBerlios$tef-svn$trunk#hub.sam.tef.ocl#resources#OCL.ecore', 'BackupTheBerlios$tef-svn$trunk#hub.sam.tef.expressions#models#expressions.ecore', 'BackupTheBerlios$tef-svn$trunk#hub.sam.tef.expressions#models#expressions.ecore', 'BackupTheBerlios$tef-svn$trunk#hub.sam.tef#resources#models#etsl.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'markus1978$tef$hub.sam.tef.sdl#resources#sdl.ecore', 'markus1978$tef$hub.sam.tef.ocl#resources#OCLCST.ecore', 'BackupTheBerlios$tef-svn$trunk#hub.sam.tef.expressions#models#expressions.ecore', 'BackupTheBerlios$tef-svn$trunk#hub.sam.tef#resources#models#tsl.ecore', 'markus1978$tef$hub.sam.tef.sdl#resources#sdl.ecore', 'BackupTheBerlios$tef-svn$trunk#hub.sam.tef.expressions#models#expressions.ecore']"
audreykoz/NCSA-Archi,"['audreykoz$NCSA-Archi$Archi_Windows#Archi 4#plugins#com.archimatetool.canvas_4.3.1.201811301135#model#canvas.ecore', 'audreykoz$NCSA-Archi$Archi_Mac_4.5.1#Archi_4.5.1.app#Contents#Eclipse#plugins#com.archimatetool.canvas_4.5.1.201908071603#model#canvas.ecore', 'audreykoz$NCSA-Archi$Archi_Windows#Archi 4#plugins#com.archimatetool.model_4.3.1.201811301135#model#archimate.ecore', 'audreykoz$NCSA-Archi$Archi_Mac#Archi.app#Contents#Eclipse#plugins#com.archimatetool.model_4.2.0.201801300957#model#archimate.ecore', 'audreykoz$NCSA-Archi$Archi_Mac#Archi.app#Contents#Eclipse#plugins#com.archimatetool.canvas_4.2.0.201801300957#model#canvas.ecore', 'audreykoz$NCSA-Archi$Archi_Mac_4.5.1#Archi_4.5.1.app#Contents#Eclipse#plugins#com.archimatetool.model_4.5.1.201908071603#model#archimate.ecore']","['magwas$zenta$org.rulez.magwas.zenta.canvas#model#canvas.ecore', 'magwas$zenta$org.rulez.magwas.zenta.canvas#model#canvas.ecore', 'nattimmis$ArchiEdu$com.archimatetool.model#model#archimate.ecore', 'nattimmis$ArchiEdu$com.archimatetool.model#model#archimate.ecore', 'magwas$zenta$org.rulez.magwas.zenta.canvas#model#canvas.ecore', 'nattimmis$ArchiEdu$com.archimatetool.model#model#archimate.ecore']"
lehrig/m2m-quality,"['lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#MOMCompletion#stoex.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#MOMCompletion#pcm.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#MOMCompletion#Units.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#UML2RDBMS#SimpleRDBMS.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#pcm.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.qvto#metamodel#QVTOperational.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#EssentialOCL.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#MOMCompletion#ProbabilityFunction.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#UML2RDBMS#SimpleUML.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#QVTOperational.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#EMOF.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#ImperativeOCL.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.qvto#metamodel#ImperativeOCL.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#QVTBase.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#MOMCompletion#identifier.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#QVTRelation.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#qvtr#UML2RDBMS#uml2rdbms.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#QVTTemplate.ecore']","['SLAsticSPE$slastic$model#stoex.ecore', 'SLAsticSPE$slastic$model#pcm.ecore', 'SLAsticSPE$slastic$model#Units.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#UML2RDBMS#SimpleRDBMS.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#tmp#pcm.ecore', 'FitashUlHaq$PivotBasedQvto$plugins#org.eclipse.m2m.qvt.oml#model#QVTOperational.ecore', 'arcanefoam$qvtMustus$plugins#org.eclipse.qvt#model#ecore#EssentialOCL.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#MOMCompletion#ProbabilityFunction.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#metamodel#UML2RDBMS#SimpleUML.ecore', 'FitashUlHaq$PivotBasedQvto$plugins#org.eclipse.m2m.qvt.oml#model#QVTOperational.ecore', 'arcanefoam$qvtMustus$plugins#org.eclipse.qvt#model#ecore#EMOF.ecore', 'arcanefoam$qvtMustus$plugins#org.eclipse.qvt#model#traditionalEcore#ImperativeOCL.ecore', 'arcanefoam$qvtMustus$plugins#org.eclipse.qvt#model#traditionalEcore#ImperativeOCL.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.languages.java#metamodel#java.ecore', 'arcanefoam$qvtMustus$plugins#org.eclipse.qvt#model#traditionalEcore#QVTBase.ecore', 'SLAsticSPE$slastic$model#identifier.ecore', 'arcanefoam$qvtMustus$plugins#org.eclipse.qvt#model#traditionalEcore#QVTRelation.ecore', 'lehrig$m2m-quality$de.upb.m2m.quality.casestudies#qvtr#UML2RDBMS#uml2rdbms.ecore', 'arcanefoam$qvtMustus$plugins#org.eclipse.qvt#model#traditionalEcore#QVTTemplate.ecore']"
bonitasoft/bonita-studio,"['bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-beta2#bpmn20di.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.connectors.model#model#implementation.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-final#di.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.exporter#model#xhtml.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.connectors.model#model#definition.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-final#di1.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-final#dc.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-beta2#bpmn20di.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.jpdl#model#jpdl32.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#connector-configuration.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#kpi.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#simulation.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.condition#src-gen#org#bonitasoft#studio#condition#ConditionModel.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.xpdl#model#xpdl1.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.omg.schema.spec.bpmn#model#bpmn2.0-final#di.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-final#di1.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio-models#ActorMapping.ecore', 'bonitasoft$bonita-studio$bundles#plugins#org.bonitasoft.studio.importer#model#bpmn2.0-final#dc.ecore']","['Everteam-Software$bpmn2$org.eclipse.mdt.bpmn#model#di.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#implementation.ecore', 'AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#DI.ecore', 'FitashUlHaq$PivotBasedQVTo$examples#org.eclipse.m2m.qvt.oml.econ2009.tutorial#projects#qvto.uml2xhtml.model#model#xhtml.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#definition.ecore', 'AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#BPMNDI.ecore', 'bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore', 'Everteam-Software$bpmn2$org.eclipse.mdt.bpmn#model#di.ecore', 'mariliaafreire$marilia-doc-projects$jpdlSbcars#model#jpdl31.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#connector-configuration.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#kpi.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#Simulation.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#ConditionModel.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#xpdl1.ecore', 'AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#DI.ecore', 'AniketosEU$Secure-Service-Specification-and-Deployment$Service Composition Framework#eu.aniketos.mtm.model#model#BPMNDI.ecore', 'damenac$puzzle$plugins#fr.inria.diverse.puzzle.metrics#testdata#ActorMapping.ecore', 'bbrodt$bpmn2$org.eclipse.bpmn2#model#DC.ecore']"
tesis-dynaware/graph-editor,['tesis-dynaware$graph-editor$model#model#graph.ecore'],['eckig$graph-editor$model#model#graph.ecore']
markusberget/tda593-hotel,['markusberget$tda593-hotel$types.ecore'],['creckord$org.eclipse.uml2$plugins#org.eclipse.uml2.types#model#Types.ecore']
allahbabah/sharaga,['allahbabah$sharaga$ivanov#l2#webpage#model#webpage.ecore'],['vogellacompany$codeexamples-java$de.vogella.emf.webpage.model#model#webpage.ecore']
yamtl/viatra-cps-batch-benchmark,"['yamtl$viatra-cps-batch-benchmark$m2m.batch.data#cps2dep#model#model.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.cps2dep.viatra.eiq#model#model.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.cps2dep.yamtl#src#main#resources#metamodels#model.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.cps2dep.xtend.plugin#metamodels#deployment.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.data#cps2dep#model#traceability.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.cps2dep.xtend.plugin#metamodels#model.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.data#cps2dep#model#deployment.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.cps2dep.yamtl#src#main#resources#metamodels#deployment.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.cps2dep.xtend.plugin#metamodels#traceability.ecore', 'yamtl$viatra-cps-batch-benchmark$m2m.batch.cps2dep.yamtl#src#main#resources#metamodels#traceability.ecore']","['lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.model#model#model.ecore', 'lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.model#model#model.ecore', 'lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.model#model#model.ecore', 'lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.deployment#model#deployment.ecore', 'viatra$incquery-examples-cps$domains#org.eclipse.viatra.examples.cps.traceability#model#traceability.ecore', 'lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.model#model#model.ecore', 'lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.deployment#model#deployment.ecore', 'lengyela89$sirius-incremental-refresh$host#examples#cps#org.eclipse.incquery.examples.cps.deployment#model#deployment.ecore', 'viatra$incquery-examples-cps$domains#org.eclipse.viatra.examples.cps.traceability#model#traceability.ecore', 'viatra$incquery-examples-cps$domains#org.eclipse.viatra.examples.cps.traceability#model#traceability.ecore']"
ld4mbse/oslc-adapter-simulink,"['ld4mbse$oslc-adapter-simulink$edu.gatech.mbsec.adapter.simulink.ecore#model#simulink4MBSE.ecore', 'ld4mbse$oslc-adapter-simulink$edu.gatech.mbsec.adapter.simulink.ecore#model#simulink.ecore']","['eclipse$lyo.adapter-simulink$org.eclipse.lyo.adapter.simulink.ecore#model#simulink.ecore', 'eclipse$lyo.adapter-simulink$org.eclipse.lyo.adapter.simulink.ecore#model#simulink.ecore']"
sandalo/asml2,"['sandalo$asml2$projetos_plugins#projetos_plugins#br.ufmg.dcc.asml#model#generated#ASMLModel.ecore', 'sandalo$asml2$br.ufmg.dcc.asml#model#generated#ASMLModel.ecore']","['sandalo$asml$br.ufmg.dcc.asml#model#generated#ASMLModel.ecore', 'sandalo$asml$br.ufmg.dcc.asml#model#generated#ASMLModel.ecore']"
Axellience/emfgwt,"['Axellience$emfgwt$emf-ecore#model#XMLType.ecore', 'Axellience$emfgwt$emf-ecore#model#Ecore.ecore', 'Axellience$emfgwt$emf-ecore#model#XMLNamespace.ecore']","['olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLType.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#Ecore.ecore', 'olegsergeyev$lab$plugins#org.eclipse.emf.ecore#model#XMLNamespace.ecore']"
fcoulon/prism,"['fcoulon$prism$languageWB#myfsm.model#model#myfsm.ecore', 'fcoulon$prism$languageWB#rascal-ecore#src#lang#ecore#tests#MyFSM.ecore']","['cwi-swat$rascal-ecore-fsm-demo$myfsm.model#model#myfsm.ecore', 'cwi-swat$rascal-ecore-fsm-demo$myfsm.model#model#myfsm.ecore']"
